player_id,first_name,second_name,player_name,club_name,position_name,extracted_at,total_points,event_points,now_cost
421,Ayden,Heaven,Ayden Heaven,Man Utd,DEF,2026-08-27 15:23:14.301707+00:00,1,1,4.5
269,Ryan,Sessegnon,Ryan Sessegnon,Fulham,DEF,2026-08-27 15:23:14.301707+00:00,1,1,4.5
592,Abdoul,Ouattara,Abdoul Ouattara,Ipswich Town,DEF,2026-08-27 15:23:14.301707+00:00,1,1,4.0
398,Phil,Foden,Phil Foden,Man City,MID,2026-08-27 15:23:14.301707+00:00,1,1,7.0
529,Robin,Roefs,Robin Roefs,Sunderland,GKP,2026-08-27 15:23:14.301707+00:00,1,1,5.0
395,Rico,Lewis,Rico Lewis,Man City,DEF,2026-08-27 15:23:14.301707+00:00,1,1,4.5
579,Ronald,Araujo,Ronald Araujo,Liverpool,DEF,2026-08-27 15:23:14.301707+00:00,1,1,5.5
490,Chris,Wood,Chris Wood,Nott'm Forest,FWD,2026-08-27 15:23:14.301707+00:00,1,1,6.0
238,Jack,Grealish,Jack Grealish,Man City,MID,2026-08-27 15:23:14.301707+00:00,1,1,6.5
526,Dominic,Solanke-Mitchell,Dominic Solanke,Spurs,FWD,2026-08-27 15:23:14.301707+00:00,1,1,6.0
520,Lucas,Bergvall,Lucas Bergvall,Spurs,MID,2026-08-27 15:23:14.301707+00:00,1,1,5.5
493,Arnaud,Kalimuendo,Arnaud Kalimuendo,Nott'm Forest,FWD,2026-08-27 15:23:14.301707+00:00,1,1,5.5
222,Jørgen,Strand Larsen,Jørgen Strand Larsen,Crystal Palace,FWD,2026-08-27 15:23:14.301707+00:00,1,1,6.0
320,Chuba,Akpom,Chuba Akpom,Ipswich Town,FWD,2026-08-27 15:23:14.301707+00:00,1,1,5.0
321,Sindre,Walle Egeli,Sindre Walle Egeli,Ipswich Town,FWD,2026-08-27 15:23:14.301707+00:00,1,1,4.5
323,Kasey,McAteer,Kasey McAteer,Ipswich Town,MID,2026-08-27 15:23:14.301707+00:00,1,1,4.5
558,Xaver,Schlager,Xaver Schlager,Nott'm Forest,MID,2026-08-27 15:23:14.301707+00:00,1,1,5.0
585,Lucas,Herrington,Lucas Herrington,Hull City,DEF,2026-08-27 15:23:14.301707+00:00,1,1,4.0
406,Mateo,Kovačić,Mateo Kovačić,Man City,MID,2026-08-27 15:23:14.301707+00:00,1,1,5.5
